Platform,Topic,Searched Text,Title,Location,URL,Hashtags,Content Type,Publisher,Publication Date,Summary,Perceived Bias,Views,Likes,Duration,Subscribers
Youtube,Climate Change,Climate Change Explained,Global warming: why you should not worry,United States,Global warming: why you should not worry - YouTube,,Video,The Boston Globe,5/14/10,An MIT scientist explains the potential dangers ,Against,930847,0,319,101000
Youtube,Climate Change,Recommended,Climate Change Activists vs Skeptics: Can They See Eye To Eye? | Middle Ground,United States,https://www.youtube.com/watch?v=6EFHZfISGp4,,Video,Jubilee,7/28/25,"Follow us on INSTAGRAM:   / jubileemedia  Dan:   / thedchen   Erin:   / erin_laulau  SUBSCRIBE for more! 👉http://bit.ly/SUBSCRIBEjubilee 👈 Be in a Jubilee video: http://bit.ly/JubileeCasting Join our company! http://bit.ly/JubileeCareers Are you a loyal Jubilee fan? Join our Facebook group:   / 407942859721012   | ABOUT | Jubilee exists to bridge people together and inspire love through compelling stories. We create shareable human-centric videos that create connection, challenge assumptions, and touch the soul. Ultimately, we aim to inspire people to LIVE DEEPER. | SOCIAL |Jubilee Facebook:   / jubileemedia   Jubilee Instagram:   / jubileemedia  Jubilee Twitter:   / jubileemedia Jubilee Website: https://www.jubileemedia.com For brands interested in partnering with Jubilee, email us: hello@jubileemedia.com Help us caption & translate this video! https://amara.org/v/qVRP/",Neutral,2500572,68000,897,9740000
Youtube,Climate Change,Recommended,A Controversial Play — and What It Taught Me About the Psychology of Climate | David Finnigan | TED,United States,https://www.youtube.com/watch?v=MHZMQLDr-OA,#TED #TEDTalks #climate,Video,TED,9/9/24,"When playwright David Finnigan launched a new play in 2014, controversially titled ""Kill Climate Deniers,"" he was not prepared for the blowback. But the conversations with climate skeptics of all stripes ultimately taught him a fascinating lesson about how many of us think about — and act upon — the climate crisis. (Recorded at TED2024 on April 17, 2024) If you love watching TED Talks like this one, become a TED Member to support our mission of spreading ideas: https://ted.com/membership Follow TED!  X:   / tedtalks   Instagram:   / ted   Facebook:   / ted   LinkedIn:   / ted-conferences   TikTok:   / tedtoks   The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more. Watch more: https://go.ted.com/davidfinnigan  • A Controversial Play — and What It Ta...  TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organiz.... For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com #TED #TEDTalks #climate",In-favor,564938,17000,607,25800000
Youtube,Climate Change,Recommended,Is Climate Change Man Made? The Surprising Data!,United States,https://www.youtube.com/watch?v=-skE4jCuf-w,#climatechange,Video,Arvin Ash,4/29/22,"Signup for your FREE trial to Wondrium here: http://ow.ly/qULR30sfm8w REFERENCES: Interactive chart: https://bloom.bg/3FgyeZc Fact check: https://bit.ly/3vJT548 Temp not rising: https://bit.ly/3OUQeNk Why earth is warming: https://bit.ly/3MQi5fJ 10 climate change myths: https://bit.ly/3kE3KqH Scientific consensus: https://bit.ly/3sfasaZ NASA land & ocean temp: https://go.nasa.gov/3w5qbdF Global energy mix data: https://bit.ly/3KMbHF0 Previous warming cycles: https://bit.ly/3vIn10l Hottest earth has been: https://bit.ly/3woLOGf Solar cycles: https://go.nasa.gov/3w7XHzR Temp vs solar activity: https://go.nasa.gov/3OZYyva Video on how climate works: https://bit.ly/37jvduS Temp record multiple orgs: https://go.nasa.gov/3FjkooU Ancient climate PETM: https://bit.ly/3M1m49v CO2 effects: https://bit.ly/3vK8od4 Deforestation stats: https://bit.ly/37freiO Is current warming natural: https://go.nasa.gov/3MOIBpR How is today's warming different from past: https://go.nasa.gov/3Fi4POj USGS.gov faqs: https://on.doi.gov/3Fw43h7 NASA resources: https://go.nasa.gov/3kM0EAQ Video on how today's warming is like past: https://bit.ly/3LKL0Ss Climate change facts: https://on.nrdc.org/3MV3job Top climate skeptic arguments: https://bit.ly/3LNL6IK Overview greenhouse gases: https://bit.ly/37fjGfU PETM paper: https://bit.ly/3yh2jXg NASA evidence: https://go.nasa.gov/3vJRn2B CHAPTERS:0:00 Why 1C makes difference 2:15 What is Climate? 3:32 Why do higher temps cause extreme weather? 6:32 Has earth ever been this hot before? 8:48 Why do greenhouse gases cause warming? 10:37 What's evidence that humans cause global warming? 14:26 One way to get more informed SUMMARY: What's the real cause of climate change? Is global warming real? Are humans causing climate change? What is climate change? We do a deep dive into the data to find answers. The world today is 0.85 degrees (C) hotter than in 1980, projected to increase 1.5C in 40 years. A one degree increase means earth retains more energy than all the energy contained in the world’s known oil reserves. This retained energy has to go somewhere. And this is what causes havoc. More water evaporates from the oceans, causing more rainfall, increased energy in hurricanes. Sea levels rise because warmer water expands in volume, and more polar ice melts.  What is climate? The difference between climate vs weather is in the duration of changes. Climate is measured over decades, more than 30 years, weather in days, years.A higher temperature results in more extreme weather. It imparts more energy to affect more damage. Almost all energy on earth comes from the sun. The air is drier over land & heats up faster than over sea, because the specific heat capacity of water is higher than that of land, so it remains cooler than land.  As the air from the land goes up to form clouds, colder air from the sea comes to fill the gap. This causes winds. If the sun heats up earth more, it causes a bigger pressure difference between sea and land, causing more severe winds, and more extreme weather.Global warming accelerates evaporation of oceans, causing more rain, snow hail & droughts. It's not just about more heat.  Are higher temps be due to a hotter sun?  No because its irradiance varies by only about 0.15% over 11 years, not enough to explain the increase in global temps. Has the earth ever been this hot? Yes, it’s been hotter. 56 million years ago, earth warmed by 5-8C. This was the Paleo-Eocene thermal maximum (or PETM). Much of the land mass went underwater or was uninhabitable by animals. Scientists believe PETM is the most analogous event to what we are experiencing now. PETM was also initiated by increases in carbon dioxide in the atmosphere, but it was from volcanoes.   Why does CO2 cause warming? Greenhouse gases have at least three atoms in their molecules. They are loosely held so can absorb more vibrational energy. They're efficient absorbers of long wave range light (heat) which bounces up from the earth’s surface. They re-emit this radiation back to Earth, resulting in warming. Non-greenhouse gases don’t absorb heat, allowing it to pass into space. On average net 0.24 gigatons of carbon was emitted into the atmosphere during a 50,000 year period during PETM. But humans are emitting fifty times more today. The current 1 degree warming occurred in less than 100 years, not 1000s of years as in PETM.  Is human carbon emission a cause of global warming?  Study of isotopes of carbon in the atmosphere shows higher C12 to C13 raios. Fossil fuels contain higher C12 so this is evidence. Volcanic eruptions increase C13, not C12. Volcanoes emit 1% as much CO2 as we do. The sun is not cause because it would heat both the upper AND lower atmosphere. But we see only warming of the lower atmosphere.  #climatechange When simulations are run using just natural causes of climate change, they predict no change in temperature. When unnatural emissions are added, it matches the data perfectly.",In-favor,119204,5100,992,1040000
Youtube,Climate Change,Recommended,The Biggest Myth About Climate Change,United States,https://www.youtube.com/watch?v=E6bVBH9y5O8,,Video,Be Smart,9/15/22,"Check out America Outdoors Understory on @PBS :    • Can Surfing Survive Climate Change? (. . . We’re on PATREON! Join the community   / itsokaytobesmart   ↓↓↓ More info and sources below ↓↓↓ You’ve seen it in the comment section before: “Climate change is natural. It’s happened before and it will keep happening”. In reality, comments like these are the newest kind of climate change denial. In this video we’re going to learn about all the reasons that Earth’s climate changes, natural and otherwise, and then how we know that modern climate change can’t be blamed on natural forces. Maybe we can finally put this biggest myth about climate change in the trash. SUBSCRIBE so you don’t miss a video! ►► http://bit. ly/iotbs_sub  ----------- High fives to all our Brain Trust Patrons: NullBlox. ZachryWilsn paul andre bouis Mark Littlehale Ali Freiburger Mehdi Damou Barbora Bei Attila Pix Burt Humburg Roy Lasris dani bowman David Johnston Salih Arslan Baerbel Winkler Robert Young Eric Meer Dustin Karen Haskell Join us on Patreon! / itsokaytobesmart   Twitter  / drjoehanson   / okaytobesmart    Instagram  / drjoehanson    / okaytobesmart    Merch https://store. dftba. com/collections/i. . . Facebook / itsokaytobesmartpbs",In-favor,1002340,33000,1737,5340000
Youtube,Climate Change,Recommended,How 2023 Broke Our Climate Models with Neil deGrasse Tyson & Gavin Schmidt,United States,https://www.youtube.com/watch?v=CHJKKsOHtAk,#StarTalk #neildegrassetyson ,Video,StarTalk,1/23/24,"Neil deGrasse Tyson Explains... Why were climate models so wrong about 2023? Neil deGrasse Tyson learns about why 2023 was hotter than we expected it to be and what effects need to be factored into future climate modeling with climatologist at NASA Goddard Institute, Gavin Schmidt.  Get the NEW StarTalk book, 'To Infinity and Beyond: A Journey of Cosmic Discovery' on Amazon: https://amzn.to/3PL0NFn Support us on Patreon:   / startalkradio   FOLLOW or SUBSCRIBE to StarTalk: Twitter:   / startalkradio Facebook:   / startalk   Instagram:   / startalk  About StarTalk:  Science meets pop culture on StarTalk! Astrophysicist & Hayden Planetarium director Neil deGrasse Tyson, his comic co-hosts, guest celebrities & scientists discuss astronomy, physics, and everything else about life in the universe. Keep Looking Up! #StarTalk #neildegrassetyson  00:00 - Introduction: Climate Update 2:00 - 2023 Hottest Year on Record 6:55 - Why Our Predictions Were Wrong 8:49 - Factoring New Data & The Impact of Aerosols 11:52 - Could We Use Aerosols to Cool the Earth?  12:57 - We Have Agency 15:10 - What Happens to The Carbon in the Ocean?",In-favor,2273841,53000,998,4370000
Youtube,Climate Change,Recommended,How I Think About Climate Change,United States,https://www.youtube.com/watch?v=tRA2SfSk2Tc,,Video,StarTalk,2/6/25,"Neil deGrasse Tyson Explains. . . What does “climate change” mean? Neil deGrasse Tyson explains under-emphasized elements of climate change and humanity’s relationship to the Earth and our cities. What does the new normal look like? Check out our second channel, @StarTalkPlus Get the NEW StarTalk book, 'To Infinity and Beyond: A Journey of Cosmic Discovery' on Amazon: https://amzn. to/3PL0NFn Support us on Patreon:   / startalkradio   FOLLOW or SUBSCRIBE to StarTalk: Twitter:   / startalkradio   Facebook:   / startalk Instagram:   / startalk   About StarTalk:  Science meets pop culture on StarTalk! Astrophysicist & Hayden Planetarium director Neil deGrasse Tyson, his comic co-hosts, guest celebrities & scientists discuss astronomy, physics, and everything else about life in the universe. Keep Looking Up! #StarTalk #neildegrassetyson  Timestamps:  00:00 - Introduction: Perspective on Climate Change 00:31 - The Greenhouse Effect 2:00 - Climate Change in the City 7:49 - Impact Worldwide ",In-favor,1440045,61000,585,4370000
Youtube,Climate Change,Recommended,This Is The Best Evidence That Atlantic Currents Are Slowing (AMOC Explained),United States,https://www.youtube.com/watch?v=4LrDz63Br04,,Video,PBS Terra,2/26/25,"Get the PBS App to watch Weathered: Earth’s Extremes for free: https://to. pbs. org/PBSAppWeathered If you're outside of the US and want to watch the show, you can check it out on PBS. org: https://to. pbs. org/WeatheredINTL This episode of Weathered: Earth’s Extremes was originally released on Oct, 2nd, 2024. The AMOC is one of Earth’s most vital systems and it may be collapsing. Ocean scientist, Lisa Beal, has discovered that the Gulf Stream is slowing down, indicating a potential tipping point for the AMOC. In hopes to prevent an AMOC collapse, Maiya May heads to Georgia to meet Stacey Abrahms and learn how an ambitious non-profit hopes to electrify everything. She then travels to take her first flight lesson in an all electric plane. And finally she returns to Florida to learn about the final piece of the puzzle in reaching net-zero carbon emissions: nature. Weathered is a show hosted by weather expert Maiya May and produced by Balance Media that helps explain the most common natural disasters, what causes them, how they’re changing, and what we can do to prepare. ***** PBS Member Stations rely on viewers like you. To support your local station, go to: http://to. pbs. org/DonateTerra ***** Subscribe to PBS Terra so you never miss an episode! https://bit. ly/3mOfd77  And keep up with PBS Terra on:  Facebook:    / pbsdigitalstudios   Tiktok:   / pbsterra   Instagram:    / pbsterra   Thank you Margaret A. Carghill Philanthropies for supporting PBS.",In-favor,49280,3300,1566,588000
Youtube,Climate Change,Recommended,Our Water Crisis Is WAY WORSE than You Think...Here's Why,United States,https://www.youtube.com/watch?v=7ALeNj7cp_s,,Video,PBS Terra,2/12/25,"From California’s epic few years of droughts and floods to wells running dry and aquifers depleting, water is a critical environmental issue. So, what do we do about it? In this episode, Maiya May tries to figure this out. To start, she visits Tulare Lake, California, once a critical water reserve and cultural site for the Tachi-Yokut tribe, which has re-emerged after 150 years. Maiya learns about agriculture's challenges, the depletion of groundwater, and finds hope in innovative farming practices that reduce emissions and conserve water. She then heads back to California to learn how water officials are utilizing floods to recharge critical aquifers. Get the PBS App to watch Weathered: Earth’s Extremes for free: https://to.pbs.org/PBSAppWeathered If you're outside of the US and want to watch the show, you can check it out on PBS.org: https://to.pbs.org/WeatheredINTL This episode of Weathered: Earth’s Extremes was originally released on Oct, 2nd, 2024. Weathered is a show hosted by weather expert Maiya May and produced by Balance Media that helps explain the most common natural disasters, what causes them, how they’re changing, and what we can do to prepare. ***** PBS Member Stations rely on viewers like you. To support your local station, go to: http://to.pbs.org/DonateTerra ***** Subscribe to PBS Terra so you never miss an episode! https://bit.ly/3mOfd77 And keep up with PBS Terra on:  Facebook:    / pbsdigitalstudios  Tiktok:   / pbsterra   Instagram:    / pbsterra Thank you Margaret A. Carghill Philanthropies for supporting PBS.",In-favor,465580,14000,1540,588000
Youtube,Climate Change,Recommended,Inside Africa's Food Forest Mega-Project,United States,https://www.youtube.com/watch?v=xbBdIG--b58,,Video,Andrew Millison,11/13/24,"Permaculture instructor Andrew Millison journeys with the UN World Food Programme to the country of Niger in the African Sahel to see an innovative land recovery project within the Great Green Wall of Africa that is harvesting rainwater, increasing food security, and rehabilitating the ecosystem. WFP Resilience Building: https://www. wfp. org/resilience-building Google Maps Locations of Niger sites we visited shown in the video: Dagouage (near Nigerian Border in Maradi):  https://maps. app. goo. gl/V7yK7gECFj6p1. . . Kouraye (newer site - vast area): https://maps. app. goo. gl/JQiCUq2AekbhY. . . Dan Goudaou: https://maps. app. goo. gl/WzCzVqQeQMBcy. . . Dan Gueza: https://maps. app. goo. gl/mLzrbMBLhMCYy. . . Thanks to the WFP media team: Niger videographer: Emanuel Foukou Niger Drone Pilot: Adamou Dansalaou Chad videographer and drone pilot (Chad, Niger): Evelyn Fey Map Animations: Ben Missimer of Pearl River EcoDesign: https://www. pearlriverecodesign. com/ Satellite before / after imagery: Soilwatch https://soilwatch. eu/ Special thanks to BOMBINO ( https://www. bombinomusic. com/ ) for use of these music tracks: Tenere (The Desert, My Home) Adouagh Chegren (At the Top of the Mountain) Illillagh Ténéré Alwane Si Chilan Oregon State University Online Permaculture Design Course:  https://workspace. oregonstate. edu/cou. . . Andrew Millison’s links: https://www. andrewmillison. com/ https://permaculturedesign. oregonstat. . . JOIN THIS CHANNEL to get access to uncut video content: / @amillison    SIGN UP FOR MY FREE NEWSLETTER: https://share. hsforms. com/1X79TznHYRC. . .",Neutral,4985828,120000,850,591000
