Platform,Topic,Searched Text,URL,Hashtags,Content Type,Publisher,Publication Date,Summary,Perceived Bias,Views,Likes,Comments,Reposts
Twitter,Climate Change,Recommended,https://x.com/DrBaidas/status/1891825096790090187/photo/1,#ClimateChange #AirPollution #RenewableEnergy #Environment #Deforestation #SDGs #Sustainability #Recycling #Circular #CapacityBuilding #Packaging #Innovation #Green #EcoFriendly #Solar #NetZero #Renewable #SolarEnergy #CleanEnergy #Energy #EnergyTransition #UNFCCC #ParisAgreement #Decarbonization #AI #Digital #SmartCity #ICT #Sustainable #EcoFriendly #Automation #Mitigation #SustainableCity #Environment #ClimateActionNow #Recycling #Waste #Climate #Decarbonization #SDG #Pollution #Technology #NetZero #PlasticWaste #ZeroWaste #SustainableCity #EnergyEfficiency #SustainableLiving ,Text - Photo,Dr. Salem Baidas @DrBaidas,2/18/25,"🌏🌪️⛈️ Global Climate Change is defined as a long-term change in weather conditions such as temperature and rainfall, resulting in a wide range of effects, including sea level rise and global warming.  ☀️🌡️📈  The main cause of climate change is the high levels of greenhouse gases (GHGs) in the atmosphere, trapping the sun's heat and causing global temperatures to rise. ☁️☁️☁️Main Greenhouse Gases (GHGs) are carbon dioxide, methane, nitrous oxide, and fluorinated gases. 🌡️🌊🌪️ Climate change indicators are: 1. Greenhouse gas concentrations (GHG levels). 2. Global annual air temperatures.  3. Global annual sea levels.  4. Arctic Glaciers melting rates.  5. The number and severity of heatwaves, droughts, hurricanes, floods, wildfires, and other extreme natural disasters.  6. Diameter of the Ozone hole over the Antarctic.  ➡️➡️➡️ Climate change effects are: Rising global temperatures, rising ocean temperatures, melting ice sheets, rising sea levels, biodiversity loss, habitat loss, deforestation, forest fires, floods, and droughts. 🌦️🔁⛔️ Efforts to combat climate change, called Climate Mitigation and Climate Adaptation, have focused on reducing carbon emissions, as carbon dioxide is the primary greenhouse gas contributing to climate change.  ♻️🚘🌲 Climate change mitigation strategies include renewable energy, electric vehicles, reforestation, pollution reduction, clean sustainable fuels, carbon capture technologies, a circular economy of products, increasing energy efficiency, and reducing consumption and waste generation. 🇺🇳🇺🇳🇺🇳  Policy-wise, in 1992, the United Nations Framework Convention on Climate Change (UNFCCC) was established to combat climate change by limiting global temperature increases and supporting the Conference of the Parties (COP) and the meeting of the Parties to the Kyoto Protocol (CMP). 🎯🎯🎯 Climate change mitigation directly supports Sustainable Development Goal (SDG 13): Take urgent action to combat climate change and its impacts. ⚕️😷☠️ Climate change effects include extreme temperatures, causes poverty, reduced food, clean water, lower incomes, and worsening health, especially in children with developing immune systems more sensitive to disease and pollution.  📢📢📢Let's all take climate action for the future generation #Posterity #ClimateAction🧒👧👦 🌐🌐🌐 LEARN MORE: http://S2adesign.com #ClimateChange #AirPollution #RenewableEnergy #Environment #Deforestation #SDGs #Sustainability #Recycling #Circular #CapacityBuilding #Packaging #Innovation #Green #EcoFriendly #Solar #NetZero #Renewable #SolarEnergy #CleanEnergy #Energy #EnergyTransition #UNFCCC #ParisAgreement #Decarbonization #AI #Digital #SmartCity #ICT #Sustainable #EcoFriendly #Automation #Mitigation #SustainableCity #Environment #ClimateActionNow #Recycling #Waste #Climate #Decarbonization #SDG #Pollution #Technology #NetZero #PlasticWaste #ZeroWaste #SustainableCity #EnergyEfficiency #SustainableLiving  @saigetsumiki315 @ecogreen_action @AkihiroQuitada@maximletters @Get14et @quitada @arigatou163 @60128abstract @ASBELKEMBOI7@timh_en @JCPZMendrew @Plasticsimpact2@nandiyouthstv @jil_obi@boreal_co @Awesome48847891@sustainme_in @k254NairobiNews @ali_bakdur @AME_Ideology@HFarzambeh40232 @Parfait_Mush @nationwidetour1 @jackiedeburca @Zeden9_xpl @PNzivugira @Jenny25056491 @saradas2012 @ssef_uganda11 @worldgreendlp @mike_otuoma @Parfait_Mush @JKaufmann54452 @eddesign_ @jeanneyacoubou @BSuhic @fidele_kitsa @EarthAccounting @Rediscova1 @Erabanabar13421 @Emusugutpato @maurogab1 @Satydev_S_Negi @2white_jets @Saadjutt420 @ken13kenchan @irfanbenli4 @Rockjam136 @Fr_VanNyverseel @AnneMar27255501",In-favor,1359,86,3,25
Twitter,Climate Change,Recommended,https://x.com/i/status/1892072918479200687,#TreesPeoplePlanet,Text - Video,CIFOR-ICRAF @CIFOR_ICRAF,2/18/25,"🌱 10 Golden Rules for Tree Planting 🌱Tree planting can help fight climate change—but if done wrong, it can do more harm than good ❌. Follow these science-backed rules to restore ecosystems, store carbon, & support communities. 🔗 https://bit.ly/3V4Hx6P #TreesPeoplePlanet",In-favor,1151,37,1,28
Twitter,Climate Change,Recommended,https://x.com/i/status/1892903592769822965,#Watch #Baramulla,Text - Video,Greater Kashmir @GreaterKashmir,2/21/24,"#Watch | Kashmir’s centuries old water mills are vanishing as water shortage and climate change take a toll. In #Baramulla’s Nowshera, only two out of the 21 mills remain functional now, with recent dry spell making things worse.",In-favor,2317,12,0,3
Twitter,Climate Change,Recommended,https://x.com/MichaelAArouet/status/1891030862369534139/photo/1,,Text - Photo,Michael A. Arouet @MichaelAArouet,2/16/25,"In red all countries that closed their nuclear power plants, but kept coal power plants instead to fight climate change",In-favor,275100,16000,184,1700
Twitter,Climate Change,Recommended,https://x.com/i/status/1890507645380858194,,Text - Video,Don Keith @RealDonKeith,2/14/25,Climate change is a hoax.,Against,6463,806,13,231
Twitter,Climate Change,Recommended,https://x.com/SlingbladeKarl/status/1893014344440451227, #DontCutMyMedicaid,Text - Video,Sling Blade Karl🇺🇸 @SlingbladeKarl,2/21/24,Corrupt Democrats & their liberal sheep are crying #DontCutMyMedicaid but had no problem sending $2.7 TRILLION in Medicaid dollars overseas to their globalist climate and gender change friends. Illegally sending American’s Medicaid dollars overseas to noncitizens is a crime!,Against,11400,218,16,65
Twitter,Climate Change,Recommended,https://x.com/the_salty_one_/status/1893029956562887069/photo/1,,Text - Photo,The Salty One @the_salty_one_,2/21/24,"This is fucking beautiful. First, the DEI bullshit, then ESG, and now companies are realising the climate grift only has costs for worthless logos and doesn't change the weather.  Another grift in the toilet.",Against,5690,141,7,32
Twitter,Climate Change,Recommended,https://x.com/PeterDClack/status/1892090684615651492/photo/1,,Text - Photo,Peter Clack @PeterDClack,2/18/24,"The endless campaign on warming & climate change is nothing more than a quest for a globalist world: the end of sovereign states, national borders, democracy & freedom of speech. Western nations began crushing freedom under covid. They are after supreme power. What do you think?",Against,19200,1600,136,908
Twitter,Climate Change,Recommended,https://x.com/MelaniaTrumpo/status/1892379039207477514/photo/1,,Text - Photo,MELANIA TRUMP - PARODY @MelaniaTrumpo,2/19/25,DO YOU AGREE THAT CLOSING THE BORDER IS MORE IMPORTANT ISSUE THAN CLIMATE CHANGE? A. YES B.  NO,Off-topic,80200,7600,5500,945
Twitter,Climate Change,Recommended,https://x.com/Artemisfornow/status/1892235849393139882/photo/1,,Text - Photo,Bernie @Artemisfornow,2/19/25,🚨GRETA LOSES 🚨- Sweden’s  Supreme court has ruled that Greta and her band of climate activists cannot proceed with class action to force the government to take stronger action against climate change.The few cannot override the many. Exactly as it should be. Bravo Sweden 🔥,In-favor,24900,2200,56,606
Twitter,Climate Change,Recommended,https://x.com/UNDPClimate/status/1892907581905023191/photo/1,,Text - Photo,UNDP Climate @UNDPClimate,2/21/25,"2025 is not “another year” for agriculture in the Asia-Pacific region.Following key global conferences on climate, biodiversity, and desertification, countries must turn commitments into real, lasting change. Read more: https://go.undp.org/3iV",In-favor,649,8,0,4
Twitter,Climate Change,Recommended,https://x.com/ClimateCentral/status/1893081439710724307/photo/1,,Text - Photo,Climate Central @ClimateCentral,2/21/25,"Friday was an unusually mild day across the U.K., Ireland, France, and Spain. 🔴High temperatures as much as 3°C-8°C (5°F-14°F+) ABOVE average would be extremely rare  -- to almost virtually impossible -- without a fingerprint of human-caused climate change",In-favor,980,1,0,2
Twitter,Climate Change,Recommended,https://x.com/i/status/1803944025743131122,,Text - Video,SynCronus @syncronus,6/20/24,Arnold Schwarzenegger and 'Pizzagate' pedophile John Podesta join forces in fighting 'cimate change',In-favor,630,2,1,5
Twitter,Climate Change,Recommended,https://x.com/IUCNpeat/status/1870102985164108086/photo/1,#Peatlands #Cimate,Text - Photo,IUCN UK Peatlands @IUCNpeat,12/20/24,Interested in #Peatlands and #Cimate? The Food and Agricultural Organization of the United Nations is looking for a Peatlands and Climate Change Specialist. Closing date is 6th January 2025. Details https://bit.ly/4iN9LhvPlease share with colleagues and networks.,In-favor,204,0,0,1
Twitter,Climate Change,Recommended,https://x.com/i/status/1892957340745228629,,Text - Video,🇯🇵Masa🇵🇭 (stroke recovery account) @Masa_recovery,2/19/25,"Occupational Therapy: Modified Constraint-Induced Movement Therapy (CIMT)📸 Yesterday  🎥 February 19, 2025",Off-topic,1471,20,3,4
Twitter,Climate Change,Recommended,https://x.com/i/status/1877912973210968200,,Text - Video,Savy 🇨🇦 @savyrecords,10/1/25,Cimate change funded by 🇨🇦 taxpayers. When you live under a chemical laced blanket 350 days a year and you use bleaching salts to white light the sun it's bound to be hot.  Geo engineering = climate change.,In-favor,474,21,2,5
Twitter,Climate Change,Recommended,https://x.com/i/status/1825280673214500968,#ClimateChange,Text - Video,Kritik der zynischen Vernunft (KdzV) @VernunftKritik,8/18/24,Erstellt mit dem KI-Tool »Invideo AI«!  @invideoOfficial Vorgabe: German Philosopher Peter Sloterdijk explains Cimate Change and the Consequences for Mankind.  Und das ist nach 1 Minute das Ergebnis!👇 @Sloterdijk_ ⁩ #ClimateChange,In-favor,302,4,0,4
Twitter,Climate Change,Recommended,https://x.com/i/status/1887151068905345475,#TNClimateSummit ,Text - Video,M.K.Stalin @mkstalin,2/5/25,Highlights from #TNClimateSummit 3.0 as Tamil Nadu drives awareness and action on #CimateChange. Watch the glimpses.,In-favor,34400,1700,75,945
Twitter,Climate Change,Recommended,https://x.com/latimeralder/status/1852056879805141079/photo/1,,Text - Photo,Latimer Alder @latimeralder,10/31/24,"Valencia'The floods in 1340, 1376, 1517, 1589 etc and 1957 were  natural but the flood in 2024 was caused by cimate change'",Against,9444,837,51,317
Twitter,Climate Change,Recommended,https://x.com/YsgolNant/status/1877417841621688425/photo/1,,Text - Photo,Ysgol Nantgaredig @YsgolNant,9/1/25,Diwrnod braf heddiw i’r rhai fu’n mynychu’r ‘Sgwrs Newid Hinsawdd’ yn @walesbotanic Diolch  @EcoSchoolsWales @LlC_Addysg A great day for these 3 at the ‘Cimate Change Conference.',In-favor,489,5,0,1
Twitter,Climate Change,Recommended,https://x.com/i/status/1866844280444047735,#Equip3rdGraduation,Text - Video,tv47ke @Tv47Newske,12/11/24,"Advancing your education is not merely an option it is a necessity if we are to provide solutions to the community. - Boniface Wanyonyi, Trans Nzoia CEC Water, Natural Resources and Cimate Change.  #Equip3rdGraduation",In-favor,47,0,0,0
Twitter,Climate Change,Recommended,https://x.com/BoylesMich42578/status/1873754307088269648/photo/1,,Text - Photo,Michael David Boyles / Prophet / Lord Jesus Christ @BoylesMich42578,12/30/24,"I Lord Jesus Christ to Cimate Change Scientists in America, the world needs to reform the Earth's weather systems are no longer the same now with Cimate Change. Examples Maryland no longer has four seasons with weather. It's 30th of December I still have grass growing in winter.",In-favor,14,1,0,1
Twitter,Climate Change,Recommended,https://x.com/latimeralder/status/1801611610475147453,#NetZero ,Text - Photo,Latimer Alder @latimeralder,6/14/24,"Q: If people are dying by the millions in the developing world from cimate change, why aren't they dashing to #NetZero in an existential fight to stop it? A: Because they're not dying by the millions. An average human's chance of dying from 'climate' is 1 in 400,000 each year",Against,1093,73,2,33
Twitter,Gun Control,Gun Control,https://x.com/i/status/1893045725111476496,,Text - Video,Pissed Off Monkey @PissedOffMonkey,2/21/25,"Liberals in Canada want gun control..And when you see a liberal operating a firearm, I can't agree more..",Against,92,4,0,0
Twitter,Gun Control,Recommended,https://x.com/Abolish_The_ATF/status/1892809798153916728,,Text,gun control hater @Abolish_The_ATF,2/21/25,Fuck cancer,Against,79,5,0,1
Twitter,Gun Control,Recommended,https://x.com/Blake87936322/status/1892582585290674225,,Text,Blake @Blake87936322,2/20/25,"Coloradans will one day awaken to the reality of the Colorado democrat agenda.  It's control of all education, control of all food, control of water, control of all housing, control of all transportation and guns.  It's called communism and their legislative actions speak loudly.",Against,976,64,6,14
Twitter,Gun Control,Recommended,https://x.com/iluminatibot/status/1889792854270132490,#GunControl,Text,illuminatibot @iluminatibot,2/12/25,Gun control is not about public safety. It's about disarming U.S. citizens to enact a totalitarian government. #GunControl,Against,50000,2200,86,565
Twitter,Gun Control,Recommended,https://x.com/fightwithmemes/status/1890803004460458453/photo/1,,Text - Photo,Fight With Memes @fightwithmemes,2/15/25,The Democrat party itself is the best argument against gun control.,Against,4530,603,7,100
Twitter,Gun Control,Recommended,https://x.com/RespectSMGomez/status/741641287120617473,,Text,Nikita☽ @RespectSMGomez,6/11/16,GUN CONTROL DOES NOT TAKE AWAY YOUR RIGHT TO OWN A GUN. IT ONLY MAKES IT HARDER FOR MENTALLY UNSTABLE PEOPLE TO OBTAIN ONE.,In-favor,,529,6,332
Twitter,Gun Control,Recommended,https://x.com/alexistzhq/status/1892647028422766597,,Text,alexis ❕🏒 @alexistzhq,2/20/25,"ok, premier trump if you ever wanna become the eleventh province where we have gun control and free healthcare be my guest!",In-favor,4805,22,15,5
Twitter,Gun Control,Recommended,https://x.com/GiaMMacool/status/1633481604944257025,,Text - Photo,Gia Macool @GiaMMacool,3/8/23,Our second amendment is being infringed on with 20k+ gun laws and few seem to care. This is by design. The best way to gain control is 1 law at a time.,Against,57600,699,49,35
Twitter,Gun Control,Recommended,https://x.com/i/status/1727391630020247863,,Text - Video,"🔫UR a Smart Ass, Carl🔫 @Ur_a_Smartass_C",11/22/23,"Gun control involves regulating access to firearms, with biases based on factors such as economic status, sexual orientation, racial background, nationality, and religious beliefs, ultimately determining what the government deems acceptable.  Thinking that gun control benefits the public suggests a lack of historical awareness and susceptibility to propaganda influence. https://x.com/Nguyen_anime3//Nguyen_anime3/status/1727384498818658789",Against,10100,306,19,27
Twitter,Gun Control,Recommended,https://x.com/schotts/status/1891945552918491145,#copolitics #coleg,Text,schotts 🇺🇸🎄 @schotts,2/18/25,"Progressive Democrats in Colorado just passed SB25-003, forcing me to buy back my rights with fees and 16 hours of “safety training”; despite being around guns since I was 10 and serving 33 years in the Army. This isn’t about safety. It’s about control.  #copolitics #coleg",Against,38200,2000,147,517
Twitter,Gun Control,Recommended,https://x.com/i/status/1890034922569834660,,Text - Video,dressa @evrsiinceny,2/13/25,no control was a major declaration by louis because a loaded gun is very true,Neutral,11100,970,6,108
Twitter,Gun Control,Recommended,https://x.com/RyanGonzalezCO/status/1893069008426987889,,Text,Representative Ryan Gonzalez @RyanGonzalezCO,2/21/25,"The majority need to understand, when it comes to “gun control” that: CRIMINALS DO NOT OBEY THE LAW!",Against,15500,194,24,39
Twitter,Gun Control,Recommended,https://x.com/GlowPeau/status/1893048884001132863,,Text,Herxy Werxy @GlowPeau,2/21/25,"But gun control is fruitless bc if criminals wanna get guns, they’re gonna get guns, right? Trump: ""If you notice, every country that has the death penalty has no drug problem. They execute drug dealers. And when you think about it, it's very humane, because every drug dealer on average they say kills at least 500 people ... I don't know if our country is ready for it. I am ready for it.""",Against,147,3,0,0
Twitter,Gun Control,Recommended,https://x.com/Ur_a_Smartass_C/status/1811044255307006451,,Text - Photo,"🔫UR a Smart Ass, Carl🔫 @Ur_a_Smartass_C",7/10/24,"Restricting firearms does not eliminate a person's ability to be extremely dangerous and violent. This is why I'm against gun control: restricting the ability of innocent people to efficiently obtain firearms will not prevent criminals from committing crimes. Instead, it will only make innocent people more vulnerable to becoming victims.",Against,7100,284,34,56
Twitter,Gun Control,Recommended,https://x.com/Patty1z/status/1892927025674936334,,Text - Photo,𝓟𝓪𝓽𝓽𝔂 @Patty1z,2/21/25,"Must be hard to be a Democrat right now. You have to be against good health, support corruption, support war, oppose free speech, promote high taxes, support gun control, & want open borders.This all boils down to Democrats oppose freedom.",Against,1713,54,5,38
Twitter,Gun Control,Recommended,https://x.com/2Aupdates/status/1892761036186349779,,Text - Video,Rob Romano @2Aupdates,2/20/25,Everytown when people comply with all the gun control they previously supported:,Against,5470,185,4,23
Twitter,Gun Control,Recommended,https://x.com/2A_Freedom/status/1892934731534094790,,Text - Photo,American Firearms Association @2A_Freedom,2/21/25,"With the stroke of a pen, President Trump can ELIMINATE every single gun control rule, order, dictate that's ever come out of the ATF.Those demanding ""reform"" at the ATF are working to blow a golden opportunity to ABOLISH THE ATF, tear it down to the bricks, & fire everyone.",Against,4595,507,33,157
Twitter,Gun Control,Recommended,https://x.com/Conservativeind/status/1892662172435571054/photo/1,#nhsenate #nhpolitics #GunControl #2A,Text - Photo,Kimberly Morin @Conservativeind,2/20/25,Debra Altschiller pushing her gun confiscation bill backed by NYC billionaire Michael Bloomberg. #nhsenate #nhpolitics #GunControl #2A,Against,521,15,5,6
Twitter,Gun Control,Recommended,https://x.com/Ames2420/status/1891299267647533437,,Text,❤🎹 Ames 🎹❤ @Ames2420,2/16/25,"I used to be a Democrat, and then I woke up.     It must be extremely hard to be a Democrat  now... you have to  support corruption,  be against good health, oppose freedom of speech, support war, love high taxes,  support gun control and want open borders.   Gah...that must be tough.",Against,27400,1000,94,371
Twitter,Gun Control,Recommended,https://x.com/AntiWokeMemes/status/1891121133161742650/photo/1,,Text - Photo,Anti Woke Memes @AntiWokeMemes,2/16/25,"Us whenever Democrats propose ""gun control"" 🔫",Against,2928,101,12,14
Twitter,Gun Control,Recommended,https://x.com/ryanflugaur/status/1891958598462472222, #coleg #copolitics ,Text - Photo,Ryan J. Flugaur @ryanflugaur,2/18/25,"By a vote of 19-15, the Colorado State Senate just passed an unconstitutional gun control bill they wrote in a backroom last Friday night with ZERO public input. They don’t even know what the hell is in the bill they just voted on. @GovofCOplease get your party under control and tell the House to scrap SB-003. If you sign it, kiss all 7 battleground states goodbye in 2028.  Here’s a summary to date:  SB-003 started off as a full-fledged gun ban, then suddenly became some bizarre may-issue gun owner ID licensing scheme laying the framework to turn Colorado into a de facto ‘no-issue’ permit to purchase state (i.e. gun ban). Gun shops don’t know what this bill asks them to do. Law abiding gun buyers are now being told they’ll need not one gun permit but 3 or 4 (permit to take a class to get a permit to purchase, on top of permit to carry and hunting permits ??? ). This means fees up the wazoo, more work for sheriffs being forced to spend time on implementing this instead of going after bad guys. It's a recipe for disaster which will result in reckless prosecution of law-abiding citizens, while giving a gift to thugs and gangbangers who run metro Denver. This is how California and Illinois fell.  @RMGOColorado #coleg #copolitics  @NatlGunRights",Against,54000,1400,148,571
Twitter,Gun Control,Recommended,https://x.com/i/status/1892305141824369111,,Text - Video,PatrickRicardBurner @BurnerRicard,2/19/24,"One simply can’t make up the irony of the far left in the U.S despising everything Putin stands for; yet wanting to apply every single one of their policies in the states. Progressive tax, universal healthcare, gun control, speech censorship. Again can’t make it up.",Against,79,2,0,0
Twitter,Gun Control,Recommended,https://x.com/GunnieMadcat/status/1893020860480377240/photo/1,,Text - Photo,🏴‍☠️ 𝔾𝕦𝕟𝕟𝕚𝕖 𝕄𝕒𝕕𝕔𝕒𝕥 🏴‍☠️ @GunnieMadcat,2/21/24,The new gun control laws are not helping the boys in blue.,Against,1728,41,6,7
Twitter,Gun Control,Recommended,https://x.com/GunsofLiberty75/status/1891995222441164886,,Text - Video,GunsOfLiberty@GunsofLiberty75,2/18/25,I want to see all Coloradans commit to disobeying all gun control. This bill is treasonous. BETRAYAL: Gun control bill passes in CO after 3 Dem Senators reverse their votes making the vote 19-15. Make sure you spread this betrayal out! @RMGOColorado @NatlGunRights @dudleywbrown,Against,766,30,3,6
Twitter,Universal Health Care,Universal Health Care,https://x.com/NoLieWithBTC/status/1889345321181815143/photo/1,,Text - Photo,No Lie with Brian Tyler Cohen @NoLieWithBTC,2/11/25,"Thousands of Danish citizens are launching an effort to buy California as a response to Trump’s attempt to take Greenland. They say they will provide Californians with “rule of law, universal health care, fact-based politics, and a lifetime supply of Danish pastries.”",In-favor,8600000,288000,17000,30000
Twitter,Universal Health Care,Recommended,https://x.com/i/status/1893336488433328139,,Text - Video,Jagmeet Singh @theJagmeetSingh,2/22/25,"Canadian Medicare — our Universal Health Care system — says a lot about who are as a people and as a country.It's who we are — a country where we look out for one another. And when Conservatives underfund and cut health care it betrays that value, and costs us all. They want to help American corporations by using sick Canadians as a cash cow for corporations. Our country. Our health care.New Democrats alongside allies like @BernieSanders will always stand with working people to protect and build up the care that families count on.",In-favor,2800,49,35,17
Twitter,Universal Health Care,Recommended,https://x.com/i/status/1890045802686685676,,Text - Video,PoliticsVideoChannel @politvidchannel,2/13/25,"Elizabeth May: ""This is what you get: free health care – universal free health care....Those gun laws that your Congress is too afraid to pass because of the national gun lobby. We already got our strict gun laws.""",In-favor,277200,5800,184,495
Twitter,Universal Health Care,Recommended,https://x.com/i/status/982348467707277313,#HealthForAll,Text - Video,United Nations@UN,4/6/18,"Universal Health Coverage means getting the health services you need, when & where you need them without facing financial hardship: http://who.int/campaigns/en/ #HealthForAll",In-favor,,521,16,372
Twitter,Universal Health Care,Universal Health Care,https://x.com/i/status/1893334523460329861,#hallyhealth |  #livewell,Text - Video,Health Alliance @Health_Alliance,2/22/25,"Did you know your health plan gives you free care coordination? Learn about this no-cost program that gives you 1:1 support to help you get the right care at the right time. Whether you have a new or ongoing health issue, we can help you manage your care and find the resources you need.  #hallyhealth |  #livewell",Neutral,21,0,0,0
Twitter,Universal Health Care,Recommended,https://x.com/i/status/982348467707277313,#HealthForAll,Text - Video,United Nations@UN,4/6/18,"Universal Health Coverage means getting the health services you need, when & where you need them without facing financial hardship: http://who.int/campaigns/en/ #HealthForAll",In-favor,,521,16,372
Twitter,Universal Health Care,Recommended,https://x.com/i/status/1869188137106411529,,Text - Video,Bam Aquino @bamaquino,12/17/24,"What does 'Universal' mean in 'Universal Healthcare'? That means, all expenses and illnesses, of anyone, must be covered. Do we have that today? Nothing. So the government should give it priority in our national budget.",In-favor,14000,746,20,202
Twitter,Universal Health Care,Recommended,https://x.com/JohnLeePettim13/status/1804332650355679361/photo/1,,Text - Photo,John Lee Pettimore @JohnLeePettim13,6/21/24,"People all over the world believe Canada has free health care. We don't. We have universal heath care. The more money you make the more health care you fund, but everyone gets the same health care. If you make $14K a yr. you pay $471 If you make $282K you pay $39,750",Neutral,7657,344,34,111
Twitter,Universal Health Care,Recommended,https://x.com/i/status/1356481223716143104,#UFC #COVID19 #HealthFor All,Text - Video,World Health Organization (WHO) @WHO,2/1/21,WHO's Universal Health Coverage (#UHC) Partnership Initiative supports 1⃣1⃣5⃣ countries in strengthening their health systems to boost #COVID19 response & accelerate progress towards #HealthForAll.More in detail 👉http://bit.ly/2YpOdjn,In-favor,,706,34,244
Twitter,Universal Health Care,Recommended,https://x.com/i/status/1704884288380928098,#UNGA  #HealthFor All,Text - Video,World Health Organization (WHO) @WHO,9/21/23,"At #UNGA, Dr Bruce Aylward explains what Universal Health Coverage is and what countries need to do to get back on track to achieve #HealthForAll ⬇️",In-favor,74100,230,72,101
Twitter,Universal Health Care,Recommended,https://x.com/i/status/994263814181924864, #HealthFor All,Text - Video,United Nations@UN,5/9/18,"Universal Health Coverage means getting the health services you need, when & where you need them, without facing financial hardship. It’s time for #HealthForAll http://bit.ly/WHDHealthForAll",In-favor,,197,13,93
